_id;x1;x2;x3;x4;x5;x6;x7;x8;x9;x10;treated;ps;ss_pair;wnnem_pair;nn_euk_pair_01;nn_mah_pair_01;psm_02_pair_01;psm_dyn_pair_01;nn_euk_pair_02;nn_mah_pair_02;psm_02_pair_02;psm_dyn_pair_02;nn_euk_pair_03;nn_mah_pair_03;psm_02_pair_03;psm_dyn_pair_03;nn_euk_pair_04;nn_mah_pair_04;psm_02_pair_04;psm_dyn_pair_04;nn_euk_pair_05;nn_mah_pair_05;psm_02_pair_05;psm_dyn_pair_05;nn_euk_pair_06;nn_mah_pair_06;psm_02_pair_06;psm_dyn_pair_06;nn_euk_pair_07;nn_mah_pair_07;psm_02_pair_07;psm_dyn_pair_07;nn_euk_pair_08;nn_mah_pair_08;psm_02_pair_08;psm_dyn_pair_08;nn_euk_pair_09;nn_mah_pair_09;psm_02_pair_09;psm_dyn_pair_09;nn_euk_pair_10;nn_mah_pair_10;psm_02_pair_10;psm_dyn_pair_10
264;1;0;1;0;0;1;1;1;0;1;0;0,4049984059390456;323,0;323,0;323,0;706,0;323,0;56,0;323,0;706,0;323,0;430,0;430,0;430,0;323,0;430,0;706,0;306,0;323,0;430,0;323,0;706,0;430,0;56,0;706,0;56,0;430,0;436,0;430,0;706,0;323,0;430,0;323,0;56,0;323,0;430,0;323,0;323,0;56,0;56,0;35,0;706,0;436,0;430,0
265;0;0;1;0;0;1;1;0;1;0;0;0,4000605263834488;;;60,0;118,0;;;;118,0;;;;118,0;;;60,0;118,0;;;60,0;;;;60,0;118,0;;;;;;;118,0;;;;;118,0;;;;;;
266;0;0;0;0;1;0;0;0;1;1;0;0,39223529193504425;;893,0;893,0;893,0;787,0;893,0;893,0;893,0;911,0;787,0;893,0;893,0;893,0;911,0;893,0;737,0;60,0;60,0;893,0;893,0;911,0;787,0;893,0;893,0;911,0;787,0;893,0;893,0;787,0;60,0;893,0;893,0;60,0;787,0;893,0;893,0;787,0;911,0;893,0;893,0;60,0;893,0
267;1;0;1;1;0;0;1;1;1;0;0;0,4605257424725953;;467,0;;846,0;;;;354,0;;;;846,0;;;;45,0;;;45,0;45,0;;;;846,0;;;;846,0;;;;354,0;;;;846,0;;;354,0;354,0;;
268;1;1;0;0;1;1;1;0;0;0;1;0,24179223941400566;761,0;563,0;761,0;563,0;563,0;563,0;761,0;563,0;563,0;563,0;761,0;563,0;563,0;563,0;761,0;563,0;563,0;563,0;761,0;563,0;563,0;563,0;761,0;563,0;563,0;563,0;761,0;761,0;563,0;563,0;761,0;563,0;563,0;563,0;761,0;563,0;563,0;563,0;761,0;563,0;563,0;563,0
269;0;0;0;0;1;1;0;0;1;0;1;0,3560044065077197;;844,0;344,0;344,0;589,0;756,0;844,0;732,0;905,0;589,0;344,0;191,0;589,0;756,0;344,0;344,0;756,0;756,0;344,0;191,0;905,0;756,0;524,0;961,0;589,0;589,0;344,0;961,0;905,0;589,0;344,0;732,0;589,0;905,0;344,0;191,0;756,0;905,0;720,0;961,0;905,0;589,0
270;1;1;1;1;1;1;1;0;1;1;0;0,4009214254913436;;572,0;372,0;572,0;722,0;527,0;314,0;314,0;478,0;478,0;159,0;159,0;478,0;722,0;572,0;314,0;527,0;722,0;572,0;572,0;722,0;722,0;314,0;572,0;722,0;527,0;159,0;572,0;527,0;478,0;572,0;572,0;722,0;722,0;314,0;314,0;527,0;722,0;314,0;572,0;478,0;722,0
271;0;1;1;1;1;0;1;0;1;0;1;0,3340024612174022;;106,0;744,0;744,0;835,0;835,0;106,0;627,0;535,0;835,0;106,0;627,0;187,0;187,0;744,0;627,0;835,0;187,0;744,0;627,0;187,0;187,0;744,0;627,0;187,0;187,0;744,0;627,0;835,0;187,0;744,0;627,0;835,0;187,0;744,0;627,0;187,0;187,0;744,0;744,0;187,0;535,0
272;0;1;0;1;1;0;1;0;0;0;1;0,2204958610040634;;220,0;198,0;263,0;650,0;650,0;198,0;263,0;650,0;650,0;198,0;263,0;650,0;650,0;198,0;263,0;650,0;650,0;198,0;263,0;650,0;650,0;198,0;263,0;650,0;650,0;198,0;263,0;650,0;650,0;198,0;263,0;650,0;650,0;198,0;263,0;650,0;650,0;198,0;263,0;650,0;650,0
273;1;1;1;1;1;0;0;0;0;0;0;0,2323096853452964;;;;;;;;995,0;;;;;;;;;;;;995,0;;;;;;;;995,0;;;;;;;;;;;;;;
274;0;1;1;0;1;0;0;0;1;1;1;0,381154490839686;595,0;595,0;595,0;595,0;595,0;595,0;595,0;595,0;595,0;595,0;595,0;595,0;595,0;595,0;595,0;595,0;595,0;595,0;595,0;595,0;595,0;595,0;595,0;595,0;595,0;595,0;595,0;595,0;595,0;595,0;595,0;595,0;595,0;595,0;183,0;595,0;595,0;595,0;595,0;595,0;595,0;595,0
275;0;1;1;1;0;0;1;1;0;1;0;0,35148178033042005;;;475,0;;;;475,0;;;;475,0;;;;475,0;;;;475,0;;;;475,0;;;;475,0;;;;475,0;;;;475,0;;;;475,0;;;
276;1;1;1;0;1;0;0;0;1;0;0;0,3430545776163697;;;574,0;;;;574,0;;;;574,0;;;;574,0;;;;574,0;;;;574,0;;;;574,0;;;;574,0;;;;574,0;;;;574,0;;;
277;1;1;1;1;1;0;1;0;0;0;0;0,2379746144461865;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
278;0;1;1;0;0;1;0;1;0;0;0;0,317634034153711;;462,0;311,0;311,0;;;725,0;;;;725,0;;;;725,0;;;;311,0;;;;725,0;;;;725,0;;;;311,0;;;;311,0;;;;311,0;;;
279;1;0;1;0;1;1;1;1;0;0;0;0,33575046841046724;;;;;;301,0;562,0;562,0;946,0;946,0;562,0;;662,0;662,0;;;946,0;301,0;;;662,0;662,0;;;946,0;538,0;;;662,0;662,0;;;662,0;662,0;;;662,0;23,0;;;;662,0
280;1;1;0;0;1;0;0;1;1;1;1;0,4460293367458011;;287,0;182,0;642,0;87,0;87,0;642,0;77,0;87,0;87,0;46,0;642,0;952,0;87,0;419,0;371,0;952,0;593,0;419,0;642,0;593,0;952,0;716,0;642,0;952,0;87,0;419,0;642,0;952,0;952,0;642,0;642,0;952,0;952,0;419,0;46,0;952,0;593,0;927,0;642,0;87,0;87,0
281;1;0;0;0;0;1;1;0;1;1;0;0,4437630856947291;126,0;959,0;959,0;745,0;;;959,0;474,0;;;882,0;474,0;;;882,0;474,0;;;959,0;745,0;;;959,0;474,0;;;959,0;745,0;;;959,0;474,0;;48,0;959,0;745,0;;;959,0;474,0;;
282;1;0;0;1;1;0;0;0;1;1;0;0,3930817254761093;190,0;190,0;190,0;190,0;190,0;190,0;190,0;190,0;190,0;190,0;190,0;190,0;190,0;190,0;190,0;190,0;190,0;190,0;190,0;190,0;190,0;190,0;190,0;190,0;190,0;190,0;190,0;190,0;190,0;190,0;190,0;190,0;190,0;190,0;190,0;190,0;190,0;190,0;190,0;190,0;190,0;190,0
283;0;1;1;0;0;1;0;0;1;0;1;0,3671035337510488;;191,0;519,0;484,0;625,0;625,0;519,0;179,0;625,0;625,0;519,0;484,0;625,0;625,0;519,0;484,0;625,0;625,0;519,0;484,0;625,0;625,0;519,0;179,0;625,0;625,0;815,0;484,0;625,0;625,0;519,0;179,0;625,0;625,0;815,0;179,0;625,0;625,0;815,0;179,0;625,0;625,0
284;1;0;1;0;0;0;1;1;1;1;0;0,5196797383321275;;846,0;379,0;918,0;;474,0;379,0;918,0;;745,0;379,0;918,0;;745,0;35,0;35,0;;474,0;379,0;918,0;;745,0;35,0;515,0;;807,0;35,0;918,0;;745,0;;918,0;;745,0;918,0;35,0;;474,0;379,0;515,0;;745,0
285;0;1;0;0;1;1;0;0;0;1;0;0,2671134766564093;;;856,0;;;;856,0;;;;856,0;;;;856,0;;;;856,0;;;;856,0;;;;856,0;;;;856,0;;;;856,0;;;;856,0;;;
286;1;0;0;1;0;1;0;1;0;0;0;0,3286291053918922;;;184,0;714,0;;;184,0;714,0;;;184,0;714,0;;;184,0;714,0;;;184,0;714,0;;;184,0;714,0;;;184,0;714,0;;;184,0;714,0;;;184,0;714,0;;;184,0;714,0;;
287;1;1;1;0;1;0;0;1;1;1;0;0,4612028534799086;;280,0;18,0;18,0;;;18,0;18,0;;;18,0;18,0;;;18,0;18,0;;;18,0;18,0;;;18,0;18,0;;;18,0;18,0;;;18,0;18,0;;;18,0;18,0;;;18,0;18,0;;
288;1;1;1;0;1;0;0;0;0;1;1;0,2772128555986973;499,0;499,0;499,0;499,0;499,0;442,0;499,0;378,0;499,0;499,0;499,0;499,0;499,0;499,0;151,0;499,0;442,0;499,0;151,0;499,0;499,0;442,0;531,0;499,0;442,0;499,0;531,0;378,0;499,0;499,0;499,0;499,0;442,0;499,0;151,0;499,0;499,0;499,0;531,0;499,0;442,0;499,0
289;0;0;0;0;0;0;0;1;1;1;1;0,4870771810609781;;11,0;418,0;492,0;136,0;659,0;418,0;418,0;136,0;136,0;418,0;492,0;;259,0;11,0;492,0;;964,0;492,0;492,0;;873,0;11,0;418,0;;416,0;418,0;492,0;;231,0;418,0;19,0;873,0;659,0;418,0;418,0;136,0;659,0;418,0;308,0;136,0;873,0
290;0;1;1;1;1;1;0;0;1;1;1;0,3844117894040312;504,0;504,0;504,0;504,0;906,0;504,0;504,0;504,0;906,0;504,0;502,0;504,0;504,0;906,0;504,0;504,0;906,0;906,0;504,0;504,0;906,0;906,0;504,0;504,0;504,0;906,0;504,0;504,0;906,0;504,0;502,0;488,0;906,0;906,0;504,0;504,0;906,0;504,0;502,0;504,0;504,0;906,0
291;1;0;0;0;0;0;1;0;0;0;1;0,27128910041520843;69,0;69,0;801,0;69,0;69,0;69,0;69,0;69,0;69,0;69,0;69,0;69,0;69,0;69,0;801,0;69,0;69,0;69,0;801,0;69,0;69,0;69,0;801,0;69,0;69,0;69,0;69,0;69,0;69,0;69,0;69,0;69,0;69,0;69,0;69,0;69,0;69,0;69,0;69,0;69,0;69,0;69,0
292;0;1;0;0;1;0;1;1;0;0;0;0,2814705867636082;;;582,0;;;;59,0;;570,0;646,0;59,0;;;646,0;376,0;;;;59,0;;570,0;646,0;376,0;;570,0;;376,0;;570,0;;59,0;;;570,0;376,0;;570,0;570,0;376,0;;;
293;0;1;1;0;1;0;1;1;1;0;1;0,4098616769730882;;560,0;647,0;660,0;647,0;181,0;660,0;647,0;181,0;647,0;660,0;660,0;181,0;647,0;647,0;647,0;181,0;647,0;647,0;660,0;181,0;647,0;660,0;647,0;647,0;647,0;647,0;647,0;181,0;647,0;647,0;647,0;181,0;181,0;647,0;647,0;181,0;181,0;647,0;660,0;181,0;647,0
294;1;0;1;0;0;1;0;1;0;0;1;0,35001391010610805;;61,0;201,0;790,0;164,0;164,0;201,0;201,0;180,0;153,0;201,0;790,0;153,0;180,0;201,0;790,0;153,0;153,0;201,0;201,0;164,0;153,0;201,0;790,0;153,0;153,0;201,0;790,0;164,0;153,0;201,0;790,0;164,0;153,0;201,0;770,0;153,0;164,0;201,0;790,0;153,0;153,0
295;0;0;1;0;1;0;1;0;1;1;1;0,4145466795957509;576,0;576,0;394,0;576,0;576,0;495,0;394,0;576,0;576,0;495,0;394,0;576,0;495,0;24,0;394,0;576,0;24,0;495,0;576,0;576,0;576,0;495,0;394,0;576,0;576,0;576,0;576,0;576,0;576,0;576,0;394,0;576,0;495,0;576,0;576,0;576,0;52,0;495,0;576,0;576,0;576,0;576,0
296;0;1;1;1;1;1;0;0;1;0;0;0,3376773888126934;23,0;23,0;23,0;23,0;23,0;23,0;713,0;23,0;114,0;23,0;713,0;23,0;114,0;301,0;23,0;23,0;23,0;23,0;23,0;23,0;706,0;635,0;23,0;23,0;23,0;23,0;23,0;23,0;23,0;23,0;713,0;392,0;538,0;23,0;23,0;23,0;23,0;114,0;713,0;23,0;23,0;23,0
297;1;0;0;0;1;1;1;1;1;1;1;0,4926750349730705;;74,0;413,0;349,0;416,0;967,0;413,0;349,0;416,0;416,0;413,0;349,0;967,0;690,0;74,0;349,0;967,0;967,0;413,0;349,0;967,0;416,0;413,0;413,0;967,0;857,0;74,0;349,0;416,0;967,0;413,0;349,0;416,0;416,0;413,0;413,0;416,0;967,0;74,0;349,0;416,0;353,0
298;0;0;0;0;1;0;0;0;1;0;1;0,3450829391155975;;613,0;495,0;495,0;191,0;191,0;495,0;495,0;191,0;744,0;495,0;495,0;191,0;744,0;495,0;495,0;191,0;191,0;495,0;495,0;127,0;191,0;495,0;495,0;191,0;191,0;495,0;495,0;191,0;191,0;495,0;495,0;191,0;744,0;495,0;495,0;744,0;191,0;495,0;495,0;744,0;744,0
299;1;0;0;1;0;1;1;1;0;0;1;0,33561597962499;486,0;486,0;486,0;486,0;486,0;486,0;486,0;486,0;486,0;486,0;486,0;486,0;486,0;486,0;486,0;401,0;486,0;486,0;486,0;486,0;486,0;486,0;486,0;401,0;486,0;486,0;486,0;486,0;486,0;486,0;486,0;486,0;486,0;486,0;486,0;401,0;486,0;486,0;486,0;486,0;486,0;486,0
300;1;0;0;1;1;1;0;0;1;1;0;0,4045838502171458;;;677,0;677,0;436,0;820,0;677,0;677,0;;;677,0;677,0;;323,0;677,0;677,0;436,0;323,0;677,0;30,0;;937,0;677,0;677,0;436,0;323,0;8,0;677,0;;;677,0;677,0;;;677,0;677,0;;;677,0;677,0;56,0;
301;0;1;0;1;0;0;1;1;0;1;1;0,3376558612398812;31,0;31,0;31,0;31,0;31,0;279,0;31,0;31,0;31,0;31,0;31,0;31,0;741,0;296,0;31,0;31,0;31,0;279,0;31,0;31,0;31,0;31,0;31,0;31,0;741,0;31,0;31,0;31,0;823,0;823,0;31,0;31,0;741,0;31,0;31,0;31,0;823,0;31,0;31,0;31,0;31,0;31,0
302;0;0;1;0;1;0;0;0;0;0;0;0,2514462783476646;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
303;0;1;0;1;1;1;1;1;1;1;0;0,4478953033191323;;403,0;;;;;;;;;;;;;;;;;;;;;;;;;403,0;;;;;;;;;;;;403,0;;;
304;1;1;0;0;0;1;0;1;1;0;0;0,4312534205989811;;325,0;325,0;869,0;959,0;346,0;325,0;869,0;959,0;959,0;325,0;;346,0;346,0;325,0;869,0;346,0;959,0;869,0;;346,0;959,0;325,0;;882,0;346,0;325,0;869,0;959,0;882,0;325,0;;882,0;947,0;869,0;869,0;882,0;959,0;869,0;869,0;882,0;882,0
305;1;0;1;1;0;1;1;1;1;1;1;0,5231201545445471;;690,0;341,0;542,0;;704,0;542,0;507,0;;709,0;542,0;577,0;;804,0;542,0;507,0;;704,0;507,0;507,0;;622,0;590,0;542,0;;704,0;341,0;542,0;;704,0;542,0;542,0;;;507,0;577,0;;859,0;341,0;590,0;704,0;704,0
306;1;0;1;1;0;1;1;1;0;1;1;0,39678741655977146;542,0;542,0;542,0;342,0;636,0;542,0;342,0;791,0;542,0;542,0;575,0;542,0;636,0;204,0;408,0;264,0;636,0;542,0;542,0;542,0;204,0;636,0;542,0;342,0;;204,0;542,0;342,0;542,0;542,0;408,0;342,0;204,0;542,0;408,0;575,0;;542,0;542,0;575,0;542,0;204,0
307;0;0;1;0;1;1;0;1;0;1;0;0,3661594901064665;;;877,0;;;;877,0;;;;902,0;;;;877,0;;;;902,0;;;;112,0;;;;902,0;;;;877,0;;;;877,0;;;;877,0;;;
308;0;0;0;0;1;0;0;0;1;1;0;0,39223529193504425;893,0;527,0;792,0;218,0;893,0;60,0;;218,0;893,0;893,0;;;60,0;893,0;;767,0;893,0;893,0;937,0;543,0;893,0;893,0;;737,0;893,0;893,0;719,0;218,0;893,0;893,0;719,0;543,0;893,0;893,0;;218,0;893,0;893,0;792,0;289,0;893,0;60,0
309;1;0;0;0;1;1;0;1;1;1;1;0,4848043868252941;231,0;231,0;231,0;393,0;;859,0;833,0;393,0;997,0;997,0;231,0;393,0;;857,0;231,0;231,0;231,0;889,0;833,0;393,0;231,0;889,0;231,0;231,0;;74,0;231,0;231,0;;352,0;833,0;231,0;231,0;997,0;833,0;393,0;231,0;231,0;833,0;231,0;997,0;997,0
310;0;1;1;1;0;1;0;0;1;1;1;0,4070791926769381;;24,0;605,0;850,0;514,0;974,0;600,0;222,0;629,0;629,0;504,0;532,0;;514,0;532,0;532,0;629,0;514,0;731,0;532,0;;514,0;24,0;532,0;629,0;514,0;532,0;850,0;887,0;312,0;504,0;504,0;;463,0;605,0;532,0;629,0;629,0;504,0;532,0;629,0;887,0
311;0;1;1;0;1;1;0;1;0;0;1;0,2974486185682106;803,0;803,0;278,0;278,0;803,0;803,0;803,0;803,0;945,0;945,0;803,0;803,0;803,0;945,0;803,0;803,0;803,0;803,0;278,0;803,0;36,0;843,0;803,0;803,0;945,0;843,0;803,0;822,0;843,0;803,0;278,0;822,0;803,0;945,0;278,0;822,0;945,0;803,0;278,0;803,0;945,0;803,0
312;1;0;0;0;1;0;1;0;1;1;0;0,4088577662286035;;882,0;211,0;;596,0;596,0;505,0;933,0;869,0;596,0;505,0;;869,0;596,0;;505,0;596,0;869,0;;;869,0;869,0;505,0;505,0;596,0;869,0;;505,0;869,0;310,0;;946,0;869,0;869,0;505,0;;596,0;869,0;505,0;505,0;596,0;596,0
313;1;1;1;0;0;1;0;0;0;0;0;0,2653506440656954;;;;;;;;;;;;;;;;;;;922,0;;;;;;;;;;;;;;;;;;;;;;;
314;1;1;1;1;1;1;1;1;1;1;1;0,4724741137183651;;139,0;139,0;139,0;966,0;259,0;270,0;270,0;;770,0;590,0;104,0;663,0;770,0;590,0;270,0;;865,0;443,0;139,0;;770,0;270,0;507,0;;770,0;104,0;37,0;;102,0;139,0;139,0;966,0;770,0;270,0;270,0;966,0;102,0;270,0;139,0;663,0;663,0
315;0;1;0;0;0;0;0;0;1;0;0;0,34211936805970955;;81,0;999,0;81,0;;694,0;376,0;81,0;;838,0;;;;83,0;;;;462,0;;;;694,0;;81,0;;;;;;336,0;;;;83,0;59,0;81,0;;;;81,0;;877,0
316;1;0;0;1;0;0;0;1;0;1;1;0,3636471670323266;;875,0;375,0;913,0;408,0;408,0;375,0;913,0;408,0;408,0;375,0;913,0;408,0;408,0;375,0;913,0;408,0;408,0;375,0;913,0;408,0;408,0;375,0;913,0;408,0;408,0;375,0;913,0;408,0;408,0;375,0;913,0;408,0;408,0;375,0;913,0;408,0;408,0;375,0;913,0;408,0;408,0
317;0;1;1;0;0;0;1;1;0;1;1;0,3593136911092735;759,0;759,0;759,0;759,0;759,0;759,0;759,0;759,0;759,0;759,0;759,0;759,0;759,0;759,0;759,0;759,0;759,0;759,0;759,0;759,0;759,0;759,0;759,0;759,0;759,0;759,0;759,0;759,0;759,0;759,0;759,0;759,0;759,0;759,0;759,0;759,0;759,0;759,0;759,0;759,0;759,0;759,0
318;0;1;1;0;0;0;1;0;1;0;1;0,36328401629569534;;769,0;636,0;167,0;434,0;434,0;636,0;167,0;720,0;434,0;167,0;167,0;434,0;720,0;636,0;557,0;434,0;720,0;636,0;535,0;434,0;720,0;636,0;167,0;720,0;720,0;167,0;167,0;720,0;720,0;167,0;535,0;720,0;720,0;167,0;535,0;720,0;720,0;636,0;167,0;434,0;720,0
319;1;1;0;0;0;1;0;1;0;0;1;0,3125650312305265;150,0;987,0;150,0;987,0;150,0;150,0;987,0;987,0;150,0;150,0;150,0;987,0;150,0;150,0;987,0;987,0;150,0;150,0;987,0;987,0;150,0;150,0;987,0;987,0;150,0;150,0;150,0;987,0;150,0;150,0;150,0;987,0;150,0;150,0;987,0;987,0;150,0;150,0;987,0;987,0;150,0;150,0
320;1;1;0;0;1;1;1;1;1;0;1;0,4157971762561433;;648,0;892,0;461,0;;2,0;892,0;648,0;2,0;2,0;74,0;648,0;2,0;390,0;454,0;461,0;;810,0;887,0;648,0;2,0;390,0;74,0;461,0;390,0;495,0;887,0;648,0;2,0;2,0;454,0;648,0;390,0;2,0;892,0;648,0;2,0;2,0;892,0;648,0;2,0;2,0
321;0;1;1;0;0;0;0;0;0;1;0;0,28879251756331525;;155,0;;;57,0;327,0;;;57,0;739,0;155,0;;57,0;739,0;155,0;;57,0;739,0;;;57,0;327,0;;;57,0;327,0;;;57,0;327,0;;;327,0;57,0;155,0;;739,0;327,0;;;327,0;327,0
322;0;0;0;1;1;0;0;1;1;1;1;0,4549471125566367;386,0;386,0;386,0;386,0;88,0;386,0;386,0;386,0;88,0;488,0;386,0;386,0;88,0;386,0;386,0;386,0;88,0;88,0;386,0;386,0;386,0;88,0;386,0;386,0;386,0;386,0;386,0;386,0;88,0;88,0;386,0;386,0;488,0;386,0;386,0;386,0;88,0;386,0;386,0;386,0;88,0;88,0
323;1;0;1;0;0;1;1;1;0;1;1;0,4049984059390456;264,0;264,0;264,0;497,0;264,0;497,0;264,0;916,0;264,0;497,0;341,0;497,0;264,0;300,0;794,0;741,0;264,0;300,0;264,0;916,0;615,0;615,0;485,0;497,0;615,0;300,0;485,0;497,0;264,0;615,0;264,0;497,0;264,0;497,0;264,0;264,0;497,0;497,0;497,0;341,0;497,0;497,0
324;0;1;0;0;0;0;0;0;1;1;0;0,3891073670846133;;792,0;137,0;137,0;;;792,0;137,0;;;792,0;137,0;;;792,0;750,0;;;792,0;137,0;;;792,0;750,0;;;792,0;750,0;;;792,0;750,0;;;792,0;750,0;;;750,0;137,0;;
325;1;1;0;1;0;1;0;1;1;0;1;0,4228884561763929;;304,0;304,0;163,0;194,0;27,0;304,0;163,0;27,0;194,0;304,0;163,0;27,0;194,0;304,0;163,0;27,0;27,0;331,0;163,0;27,0;27,0;304,0;163,0;194,0;130,0;304,0;163,0;27,0;27,0;304,0;364,0;27,0;27,0;163,0;163,0;27,0;27,0;331,0;163,0;27,0;27,0
326;0;0;0;0;0;1;1;0;0;1;0;0,3153863022560931;;;480,0;;480,0;480,0;480,0;;480,0;480,0;480,0;;480,0;480,0;480,0;;480,0;480,0;480,0;;480,0;480,0;480,0;;480,0;480,0;480,0;;480,0;480,0;480,0;480,0;480,0;480,0;480,0;;480,0;480,0;480,0;;480,0;480,0
327;1;1;0;0;0;0;1;0;0;1;1;0,2904406405179497;;161,0;718,0;718,0;145,0;321,0;629,0;629,0;145,0;145,0;629,0;718,0;145,0;571,0;718,0;629,0;571,0;145,0;718,0;718,0;571,0;321,0;629,0;629,0;571,0;321,0;718,0;629,0;145,0;321,0;718,0;718,0;321,0;145,0;629,0;718,0;145,0;321,0;629,0;629,0;321,0;321,0
328;1;0;1;1;1;0;1;0;1;1;1;0,41540835169380935;768,0;768,0;233,0;768,0;768,0;24,0;768,0;581,0;768,0;768,0;577,0;581,0;390,0;768,0;577,0;581,0;2,0;2,0;768,0;768,0;390,0;2,0;577,0;581,0;2,0;768,0;768,0;768,0;768,0;768,0;577,0;581,0;2,0;390,0;768,0;581,0;768,0;390,0;768,0;577,0;390,0;768,0
329;0;0;1;1;1;1;1;0;1;0;1;0,3695350926851576;805,0;805,0;213,0;773,0;113,0;113,0;213,0;773,0;113,0;113,0;213,0;773,0;805,0;113,0;213,0;805,0;454,0;113,0;213,0;805,0;805,0;113,0;805,0;773,0;113,0;612,0;213,0;773,0;454,0;454,0;213,0;805,0;454,0;113,0;805,0;805,0;805,0;113,0;213,0;773,0;;113,0
330;0;0;1;0;0;0;0;1;0;0;0;0,3307731090826885;;838,0;462,0;838,0;687,0;633,0;462,0;838,0;687,0;687,0;462,0;;633,0;633,0;462,0;;687,0;687,0;462,0;;687,0;633,0;462,0;16,0;633,0;687,0;462,0;;633,0;633,0;462,0;838,0;633,0;687,0;462,0;;687,0;687,0;462,0;16,0;687,0;687,0
331;1;1;0;1;1;1;0;1;1;0;0;0,3999345267632852;70,0;70,0;869,0;70,0;70,0;70,0;70,0;70,0;70,0;70,0;374,0;70,0;70,0;70,0;869,0;410,0;70,0;70,0;325,0;410,0;70,0;70,0;410,0;410,0;70,0;70,0;70,0;374,0;70,0;70,0;869,0;70,0;70,0;70,0;70,0;70,0;70,0;70,0;325,0;70,0;70,0;70,0
332;0;0;0;0;0;1;1;1;0;1;0;0,3813919788815525;;;740,0;500,0;;;;;;;740,0;500,0;;;740,0;;;;;;;;500,0;;;;500,0;500,0;;;740,0;;;;740,0;;;;;;;
333;1;0;0;1;1;1;0;1;0;0;0;0,3080604085071684;821,0;162,0;821,0;821,0;821,0;821,0;821,0;614,0;363,0;363,0;821,0;821,0;821,0;821,0;821,0;821,0;821,0;363,0;821,0;821,0;107,0;821,0;821,0;821,0;363,0;107,0;821,0;727,0;107,0;107,0;821,0;614,0;363,0;107,0;821,0;821,0;107,0;363,0;821,0;821,0;107,0;363,0
334;0;0;1;0;1;1;1;0;1;1;0;0,4262357911674348;350,0;350,0;350,0;350,0;350,0;727,0;350,0;350,0;350,0;350,0;359,0;350,0;350,0;350,0;359,0;350,0;350,0;350,0;359,0;350,0;350,0;350,0;359,0;350,0;350,0;350,0;350,0;350,0;350,0;350,0;350,0;350,0;350,0;350,0;359,0;350,0;350,0;350,0;350,0;350,0;350,0;350,0
335;1;1;1;0;1;0;0;0;1;0;0;0,3430545776163697;574,0;;;574,0;;;;574,0;;;;574,0;;;;574,0;;;;574,0;;;;574,0;;;;574,0;;;;574,0;;;;574,0;;;;574,0;;
336;1;1;1;1;1;0;1;1;0;1;1;0,33858514900450865;680,0;680,0;680,0;845,0;680,0;120,0;680,0;680,0;680,0;680,0;680,0;845,0;680,0;680,0;434,0;680,0;;823,0;680,0;845,0;;680,0;680,0;680,0;;680,0;680,0;680,0;366,0;315,0;680,0;845,0;;120,0;434,0;845,0;680,0;120,0;680,0;845,0;680,0;680,0
337;0;0;0;1;1;0;1;0;1;1;0;0,3915944937649994;;932,0;932,0;;;;;;;;;932,0;;;932,0;;;;;;;;932,0;932,0;;;;932,0;;;932,0;;;;932,0;;;;;932,0;;
338;0;0;0;1;0;1;0;0;1;0;1;0,3700211611786492;;532,0;906,0;532,0;454,0;844,0;906,0;532,0;844,0;168,0;72,0;516,0;844,0;454,0;906,0;993,0;;612,0;516,0;385,0;844,0;612,0;906,0;906,0;454,0;844,0;72,0;993,0;844,0;844,0;906,0;516,0;;844,0;906,0;385,0;844,0;844,0;72,0;385,0;113,0;844,0
339;0;1;1;1;0;0;0;0;1;0;1;0,3482305737947388;;627,0;707,0;627,0;648,0;387,0;627,0;707,0;461,0;461,0;627,0;110,0;;13,0;707,0;707,0;4,0;4,0;707,0;110,0;461,0;648,0;627,0;110,0;4,0;837,0;707,0;532,0;461,0;461,0;707,0;532,0;13,0;648,0;707,0;429,0;13,0;13,0;627,0;627,0;648,0;164,0
340;1;0;0;0;1;1;0;1;1;0;0;0,4344791841269201;;119,0;119,0;;;882,0;119,0;;;141,0;119,0;;;959,0;119,0;;;346,0;119,0;;;882,0;119,0;;;959,0;119,0;;;346,0;119,0;;;959,0;119,0;;;346,0;119,0;;;712,0
341;1;0;1;0;0;1;1;1;1;1;0;0,5316413296015344;;20,0;305,0;20,0;;592,0;56,0;56,0;;592,0;323,0;56,0;;20,0;562,0;56,0;;592,0;20,0;20,0;;592,0;20,0;20,0;;592,0;305,0;56,0;;20,0;20,0;20,0;;592,0;430,0;562,0;;20,0;305,0;323,0;;592,0
342;1;0;0;1;1;1;1;1;0;1;0;0,3601056442668287;;;614,0;306,0;;;306,0;397,0;;;614,0;;;;614,0;397,0;;;614,0;677,0;;;614,0;306,0;;;614,0;306,0;;;614,0;306,0;;;614,0;;;;614,0;;;
343;1;1;1;0;1;1;1;0;1;0;1;0,3611821090861791;;199,0;461,0;928,0;207,0;754,0;172,0;172,0;723,0;723,0;461,0;928,0;207,0;754,0;648,0;172,0;754,0;723,0;461,0;928,0;109,0;207,0;172,0;199,0;207,0;723,0;648,0;172,0;754,0;754,0;199,0;199,0;723,0;754,0;461,0;928,0;723,0;754,0;199,0;199,0;241,0;754,0
